farmer_id,name,state,district,village,latitude,longitude,crop,variety,quantity_kg,grade,harvest_date,expected_price
F044,Deepak,Uttar Pradesh,Meerut,Sardhana,26.1312,83.3461,Potato,Local,50,B,08-08-2026,16.56
F045,Vijay,Tamil Nadu,Madurai,Usilampatti,18.9428,77.6287,Groundnut,TMV-2,600,A,11-08-2026,64.87
F046,Manjunath,Andhra Pradesh,Krishna,Gudivada,15.8886,86.5024,Rice,Sona Masuri,500,A,19-08-2026,29.69
F047,Prakash,Maharashtra,Pune,Baramati,20.4374,79.8208,Maize,Hybrid,1200,A,27-08-2026,20.45
F048,Naveen,Uttar Pradesh,Lucknow,Malihabad,17.0797,86.483,Groundnut,TMV-2,500,A,23-08-2026,55.97
F049,Ganesh,Tamil Nadu,Coimbatore,Mettupalayam,23.4411,79.6604,Rice,Sona Masuri,400,A,25-08-2026,31.72
F050,Shiva,Uttar Pradesh,Meerut,Kharkhoda,22.6405,75.8998,Potato,Kufri Jyoti,400,B,12-09-2026,12.27
F051,Naveen,Maharashtra,Pune,Shirur,16.8408,84.5281,Maize,Local,200,A,22-08-2026,22.57
F052,Suresh,Punjab,Ludhiana,Samrala,10.0096,87.402,Tomato,Arka Rakshak,600,A,23-08-2026,22.93
F053,Meena,Karnataka,Bengaluru Rural,Devanahalli,20.9073,77.0515,Tomato,Arka Rakshak,150,A,31-08-2026,32.73
F054,Kavitha,Punjab,Amritsar,Ajnala,28.9355,82.0612,Groundnut,Local,150,C,07-08-2026,61.57
F055,Savitri,Uttar Pradesh,Meerut,Sardhana,21.7091,75.6948,Groundnut,Local,100,B,20-08-2026,67.01
F056,Naveen,Karnataka,Mysuru,Periyapatna,17.7413,80.8628,Maize,Local,100,B,22-08-2026,18.08
F057,Pooja,Punjab,Amritsar,Rayya,26.2804,81.5344,Wheat,Local,150,B,11-09-2026,22.16
F058,Kavitha,Uttar Pradesh,Lucknow,Mohanlalganj,18.7236,82.5446,Sugarcane,Co-86032,100,A,29-08-2026,3.24
F059,Rekha,Punjab,Ludhiana,Samrala,27.867,83.8166,Sugarcane,Co-86032,500,A,17-08-2026,3.34
F060,Meena,Tamil Nadu,Coimbatore,Sulur,13.7871,80.6653,Rice,Basmati,200,B,01-09-2026,36.1
F061,Krishna,Uttar Pradesh,Lucknow,Malihabad,21.2942,80.6256,Onion,Nashik Red,200,A,16-08-2026,21.12
F062,Rajesh,Punjab,Amritsar,Rayya,13.5718,84.098,Potato,Local,300,B,18-08-2026,15.07
F063,Sunita,Karnataka,Belagavi,Athani,29.9854,81.3449,Wheat,HD-2967,200,B,18-08-2026,25.8
F064,Deepak,Karnataka,Bengaluru Rural,Hoskote,14.5348,87.6401,Rice,Sona Masuri,150,A,15-09-2026,35.68
F065,Rekha,Punjab,Ludhiana,Jagraon,15.9955,87.517,Chilli,Guntur Sannam,50,B,31-08-2026,88.72
F066,Sunita,Uttar Pradesh,Meerut,Sardhana,11.7823,81.8798,Maize,Local,100,B,13-09-2026,18.32
F067,Shiva,Karnataka,Bengaluru Rural,Angondhalli,19.9966,80.3072,Potato,Local,800,B,09-09-2026,14.26
F068,Ashok,Punjab,Amritsar,Tarn Taran,13.0713,76.9544,Groundnut,Local,800,C,07-08-2026,68.95
F069,Vijay,Karnataka,Bengaluru Rural,Devanahalli,21.5638,78.0776,Wheat,PBW-343,100,A,27-08-2026,23.6
F070,Prakash,Punjab,Amritsar,Rayya,22.2513,83.2566,Chilli,Guntur Sannam,1000,A,17-08-2026,107.27
F071,Santosh,Uttar Pradesh,Meerut,Kharkhoda,12.1503,78.3066,Rice,Local,150,C,10-08-2026,26.43
F072,Manjunath,Tamil Nadu,Madurai,Usilampatti,19.5104,80.9131,Onion,Nashik Red,1200,A,26-08-2026,33.85
F073,Ashok,Tamil Nadu,Coimbatore,Mettupalayam,21.1544,87.311,Sugarcane,Local,50,A,13-09-2026,3.84
F074,Pooja,Punjab,Ludhiana,Khanna,26.4134,87.5668,Chilli,Local,250,A,07-09-2026,86.15
F075,Deepak,Punjab,Amritsar,Tarn Taran,23.0768,79.6063,Sugarcane,Co-86032,150,A,14-09-2026,3.5
F076,Deepak,Karnataka,Mysuru,Nanjangud,26.6484,74.0161,Sugarcane,Local,300,A,26-08-2026,3.86
F077,Deepak,Uttar Pradesh,Lucknow,Malihabad,25.2198,76.8498,Rice,Local,300,B,01-09-2026,37.51
F078,Ramesh,Maharashtra,Nashik,Sinnar,24.1152,78.3505,Chilli,Guntur Sannam,50,C,08-09-2026,107.96
F079,Krishna,Tamil Nadu,Madurai,Melur,19.4643,84.0324,Rice,Basmati,500,C,11-09-2026,41.64
F080,Anitha,Andhra Pradesh,Krishna,Gudivada,28.7811,81.1154,Chilli,Local,200,A,10-08-2026,83.02
F081,Anitha,Karnataka,Mysuru,Hunsur,21.2583,83.2392,Sugarcane,Local,50,A,20-08-2026,3.84
F082,Naveen,Uttar Pradesh,Lucknow,Mohanlalganj,13.7537,79.3616,Sugarcane,Local,500,C,13-08-2026,3.98
F083,Krishna,Karnataka,Mysuru,Periyapatna,19.3972,74.5183,Chilli,Local,400,C,11-09-2026,118.85
F084,Anitha,Tamil Nadu,Madurai,Melur,17.5195,83.1669,Chilli,Guntur Sannam,600,C,01-08-2026,103.35
F085,Rajesh,Karnataka,Mysuru,Hunsur,27.4055,79.3201,Sugarcane,Local,1000,A,22-08-2026,3.85
F086,Lakshmi,Andhra Pradesh,Krishna,Machilipatnam,24.9289,80.0756,Groundnut,Local,200,B,19-08-2026,69.95
F087,Naveen,Andhra Pradesh,Guntur,Narasaraopet,9.7346,79.0185,Wheat,PBW-343,250,C,03-08-2026,22.59
F088,Savitri,Maharashtra,Pune,Daund,22.1336,77.3716,Maize,Hybrid,150,A,09-09-2026,23.23
F089,Shiva,Maharashtra,Pune,Shirur,23.4074,76.2117,Cotton,Local,250,B,30-08-2026,73.02
F090,Kavitha,Punjab,Amritsar,Rayya,27.2734,75.4931,Maize,Local,500,B,13-08-2026,24
F091,Suresh,Tamil Nadu,Madurai,Usilampatti,23.5876,84.4254,Cotton,Bt Cotton,1000,A,01-08-2026,66.32
F092,Ashok,Tamil Nadu,Madurai,Usilampatti,23.4108,84.093,Rice,Local,300,A,13-08-2026,37.42
F093,Santosh,Andhra Pradesh,Guntur,Tenali,10.4829,78.1315,Tomato,Hybrid PKM-1,500,A,24-08-2026,34.11
F094,Pooja,Uttar Pradesh,Meerut,Sardhana,14.1533,85.5457,Wheat,PBW-343,300,B,18-08-2026,26.64
F095,Deepak,Punjab,Amritsar,Ajnala,24.4328,87.7192,Chilli,Guntur Sannam,150,B,15-08-2026,111.61
F096,Geetha,Punjab,Ludhiana,Samrala,23.2915,82.1838,Tomato,Hybrid PKM-1,600,A,24-08-2026,32.8
F097,Geetha,Punjab,Ludhiana,Jagraon,21.9218,83.0671,Rice,Sona Masuri,50,B,05-09-2026,31.56
F098,Deepak,Uttar Pradesh,Lucknow,Mohanlalganj,11.0547,77.2872,Onion,Local,50,C,20-08-2026,34.92
F099,Ravi,Maharashtra,Nashik,Sinnar,22.9083,85.6717,Sugarcane,Local,800,B,10-08-2026,3.89
F100,Deepak,Uttar Pradesh,Lucknow,Malihabad,10.6858,83.5995,Sugarcane,Co-86032,500,A,16-08-2026,3.86
F101,Ramesh,Andhra Pradesh,Krishna,Machilipatnam,13.1663,82.9529,Maize,Local,200,C,30-08-2026,18.55
F102,Rajesh,Karnataka,Mysuru,Nanjangud,13.2509,86.1757,Wheat,PBW-343,200,A,05-09-2026,21.66
F103,Mahesh,Maharashtra,Nagpur,Kamptee,27.5619,75.8452,Cotton,Bt Cotton,150,B,12-08-2026,57.2
F104,Mahesh,Maharashtra,Nagpur,Hingna,24.9046,80.6674,Tomato,Local,250,A,27-08-2026,29.57
F105,Suresh,Tamil Nadu,Coimbatore,Mettupalayam,18.5769,87.4964,Potato,Kufri Jyoti,800,A,12-09-2026,17.21
F106,Anitha,Uttar Pradesh,Lucknow,Mohanlalganj,15.5865,76.0767,Onion,Nashik Red,1200,C,05-08-2026,32.99
F107,Geetha,Punjab,Amritsar,Tarn Taran,23.9391,85.9391,Groundnut,TMV-2,500,B,28-08-2026,51.98
F108,Rajesh,Tamil Nadu,Coimbatore,Mettupalayam,24.5515,78.3757,Chilli,Guntur Sannam,400,A,30-08-2026,83.92
F109,Anitha,Andhra Pradesh,Krishna,Gudivada,10.6244,84.3431,Wheat,PBW-343,500,A,06-08-2026,20.75
F110,Santosh,Tamil Nadu,Coimbatore,Sulur,29.2049,79.9211,Potato,Local,1000,A,23-08-2026,20.74
F111,Mahesh,Karnataka,Mysuru,Periyapatna,19.1082,85.8618,Cotton,Local,100,B,14-08-2026,58.09
F112,Ashok,Tamil Nadu,Madurai,Melur,22.6394,74.3676,Cotton,Bt Cotton,400,B,09-09-2026,67.27
F113,Ashok,Andhra Pradesh,Krishna,Machilipatnam,12.4909,76.0055,Wheat,Local,1200,B,22-08-2026,22.81
F114,Santosh,Uttar Pradesh,Meerut,Sardhana,15.9997,79.1807,Tomato,Local,1200,B,25-08-2026,27.24
F115,Shiva,Punjab,Ludhiana,Khanna,23.0627,80.7993,Wheat,HD-2967,800,A,06-08-2026,22.18
F116,Sunita,Uttar Pradesh,Lucknow,Malihabad,21.549,81.3771,Potato,Kufri Jyoti,300,A,19-08-2026,18.78
F117,Lakshmi,Karnataka,Bengaluru Rural,Nelamangala,25.3115,78.0523,Groundnut,Local,50,A,14-08-2026,65.35
F118,Mahesh,Karnataka,Mysuru,Periyapatna,20.7919,83.3527,Maize,Hybrid,150,A,15-09-2026,19.38
F119,Meena,Karnataka,Mysuru,Periyapatna,21.1667,82.0276,Tomato,Hybrid PKM-1,50,A,05-08-2026,36.97
F120,Mahesh,Andhra Pradesh,Krishna,Gudivada,22.0988,85.6484,Onion,Nashik Red,50,C,11-08-2026,31.03
F121,Rajesh,Karnataka,Mysuru,Nanjangud,15.326,78.7532,Rice,Sona Masuri,800,A,06-08-2026,32.92
F122,Anitha,Maharashtra,Pune,Daund,29.5809,83.0362,Onion,Bellary Red,600,A,23-08-2026,22.02
F123,Shiva,Maharashtra,Pune,Baramati,29.4284,82.7913,Cotton,Bt Cotton,150,B,11-09-2026,56.51
F124,Mahesh,Tamil Nadu,Madurai,Usilampatti,26.0193,82.2799,Sugarcane,Co-86032,500,A,29-08-2026,3.63
F125,Ravi,Tamil Nadu,Coimbatore,Mettupalayam,27.5135,85.9741,Chilli,Local,50,A,19-08-2026,64.6
F126,Anitha,Tamil Nadu,Madurai,Usilampatti,15.5736,80.6588,Groundnut,Local,500,C,06-09-2026,63.04
F127,Krishna,Karnataka,Mysuru,Nanjangud,18.1307,80.1519,Sugarcane,Co-86032,600,B,03-08-2026,3.25
F128,Rajesh,Tamil Nadu,Coimbatore,Mettupalayam,9.652,82.8324,Sugarcane,Local,400,A,22-08-2026,3.68
F129,Manjunath,Karnataka,Mysuru,Nanjangud,21.7594,76.1052,Potato,Local,250,A,12-09-2026,21.64
F130,Anitha,Tamil Nadu,Coimbatore,Mettupalayam,16.7869,85.0833,Cotton,Local,150,B,06-08-2026,61.19
F131,Prakash,Andhra Pradesh,Guntur,Narasaraopet,16.0181,84.7262,Potato,Local,50,A,12-08-2026,21.51
F132,Rajesh,Maharashtra,Pune,Baramati,27.941,74.5285,Onion,Nashik Red,100,B,04-09-2026,31.7
F133,Shiva,Tamil Nadu,Coimbatore,Sulur,26.299,76.3175,Maize,Hybrid,150,A,14-09-2026,22.63
F134,Pooja,Karnataka,Mysuru,Hunsur,13.7617,87.5184,Rice,Sona Masuri,800,A,29-08-2026,29.68
F135,Prakash,Maharashtra,Nashik,Dindori,17.7105,76.2688,Groundnut,TMV-2,500,B,25-08-2026,60.06
F136,Lakshmi,Tamil Nadu,Coimbatore,Mettupalayam,24.1508,81.2227,Tomato,Arka Rakshak,500,C,05-09-2026,38.55
F137,Mahesh,Punjab,Ludhiana,Khanna,28.5311,85.4338,Cotton,Local,600,A,28-08-2026,56.83
F138,Meena,Karnataka,Mysuru,Nanjangud,9.1201,87.0316,Maize,Local,200,A,06-08-2026,20.25
F139,Shiva,Andhra Pradesh,Krishna,Machilipatnam,11.5534,83.8775,Wheat,HD-2967,250,C,31-08-2026,25.57
F140,Sunita,Tamil Nadu,Coimbatore,Pollachi,21.8954,79.9256,Tomato,Hybrid PKM-1,200,B,05-09-2026,38.68
F141,Ravi,Maharashtra,Nashik,Niphad,10.9389,86.6721,Tomato,Local,400,B,09-09-2026,28.06
F142,Ganesh,Tamil Nadu,Coimbatore,Sulur,16.262,81.9893,Potato,Kufri Jyoti,1200,A,28-08-2026,12.02
F143,Geetha,Andhra Pradesh,Guntur,Narasaraopet,17.09,80.5819,Onion,Bellary Red,600,B,02-09-2026,26.08
F144,Rajesh,Uttar Pradesh,Lucknow,Mohanlalganj,25.473,84.2926,Tomato,Hybrid PKM-1,100,A,12-09-2026,31.82
F145,Anitha,Maharashtra,Pune,Shirur,23.7986,82.8443,Potato,Local,1000,A,13-09-2026,16.65
F146,Kavitha,Karnataka,Belagavi,Gokak,15.4431,78.3411,Tomato,Hybrid PKM-1,200,A,13-08-2026,37.49
F147,Mahesh,Tamil Nadu,Madurai,Usilampatti,15.8023,75.7427,Tomato,Arka Rakshak,200,A,04-08-2026,37.05
F148,Manjunath,Uttar Pradesh,Lucknow,Mohanlalganj,26.0404,77.7341,Maize,Local,150,A,01-09-2026,20.2
F149,Ravi,Andhra Pradesh,Krishna,Machilipatnam,23.0402,78.2909,Maize,Hybrid,600,A,07-08-2026,18.48
F150,Suresh,Andhra Pradesh,Krishna,Machilipatnam,18.0687,82.9526,Chilli,Local,500,A,23-08-2026,96.89
F151,Ashok,Karnataka,Belagavi,Athani,9.1851,85.8814,Maize,Local,600,B,13-09-2026,18.96
F152,Shiva,Uttar Pradesh,Meerut,Sardhana,9.2125,76.1481,Onion,Local,1000,A,25-08-2026,33.99
F153,Ramesh,Punjab,Amritsar,Tarn Taran,14.6312,87.4473,Onion,Bellary Red,150,B,26-08-2026,21.29
F154,Meena,Andhra Pradesh,Guntur,Narasaraopet,13.2205,82.5663,Potato,Local,600,A,17-08-2026,19.04
F155,Rajesh,Uttar Pradesh,Meerut,Sardhana,10.4314,83.547,Wheat,HD-2967,500,A,15-09-2026,23.56
F156,Mahesh,Andhra Pradesh,Krishna,Machilipatnam,23.9048,76.4373,Potato,Local,250,C,15-09-2026,19.1
F157,Deepak,Tamil Nadu,Coimbatore,Pollachi,21.0901,80.5437,Rice,Basmati,200,B,02-08-2026,32.22
F158,Manjunath,Maharashtra,Nagpur,Kamptee,25.4216,85.5268,Onion,Nashik Red,400,C,31-08-2026,25.51
F159,Savitri,Maharashtra,Nashik,Dindori,26.7392,81.7182,Onion,Nashik Red,500,B,23-08-2026,17.57
F160,Mahesh,Maharashtra,Pune,Shirur,15.5985,83.9306,Potato,Kufri Jyoti,100,B,20-08-2026,13.65
F161,Krishna,Tamil Nadu,Madurai,Melur,15.1621,81.4687,Cotton,Bt Cotton,1000,C,18-08-2026,57.5
F162,Ramesh,Andhra Pradesh,Guntur,Tenali,28.8265,74.5767,Wheat,PBW-343,800,B,08-09-2026,22.7
F163,Sunita,Karnataka,Bengaluru Rural,Hoskote,22.2976,78.0554,Rice,Local,400,B,02-08-2026,34.96
F164,Rajesh,Uttar Pradesh,Meerut,Kharkhoda,17.6437,80.5022,Maize,Local,500,A,04-08-2026,18.95
F165,Lakshmi,Tamil Nadu,Coimbatore,Mettupalayam,10.836,77.3843,Sugarcane,Local,400,A,24-08-2026,3.51
F166,Ganesh,Punjab,Amritsar,Ajnala,17.699,87.4776,Wheat,HD-2967,50,A,25-08-2026,26.91
F167,Shiva,Punjab,Amritsar,Ajnala,10.4811,79.5054,Wheat,Local,600,A,20-08-2026,23.98
F168,Deepak,Maharashtra,Pune,Daund,22.8937,80.5882,Sugarcane,Co-86032,50,A,08-09-2026,3.88
F169,Prakash,Karnataka,Bengaluru Rural,Nelamangala,17.3128,81.9839,Wheat,Local,1200,A,26-08-2026,22.93
F170,Kavitha,Punjab,Amritsar,Ajnala,11.1138,87.6512,Maize,Local,600,A,09-09-2026,22.08
F171,Rajesh,Punjab,Amritsar,Rayya,9.4967,75.9185,Sugarcane,Co-86032,200,B,26-08-2026,3.5
F172,Sunita,Uttar Pradesh,Lucknow,Malihabad,30.2935,84.3505,Groundnut,Local,300,C,21-08-2026,53.25
F173,Sunita,Tamil Nadu,Madurai,Usilampatti,10.9113,79.8316,Groundnut,TMV-2,500,B,24-08-2026,56.62
F174,Kavitha,Andhra Pradesh,Guntur,Narasaraopet,22.3386,82.6763,Cotton,Bt Cotton,1200,A,31-08-2026,58.41
F175,Prakash,Maharashtra,Nagpur,Kamptee,17.7132,79.7814,Tomato,Arka Rakshak,1200,A,02-08-2026,27.7
F176,Shiva,Uttar Pradesh,Lucknow,Malihabad,16.7901,87.3936,Wheat,PBW-343,200,B,12-09-2026,23.83
F177,Sunita,Tamil Nadu,Madurai,Usilampatti,13.4471,87.6207,Cotton,Local,200,C,18-08-2026,66.16
F178,Kavitha,Punjab,Ludhiana,Jagraon,21.1165,81.6047,Chilli,Local,500,A,18-08-2026,77.27
F179,Deepak,Punjab,Ludhiana,Samrala,24.9414,76.9958,Tomato,Hybrid PKM-1,1200,A,29-08-2026,32.43
F180,Vijay,Punjab,Amritsar,Ajnala,28.4141,77.1594,Onion,Bellary Red,1200,B,16-08-2026,16.02
F181,Naveen,Karnataka,Bengaluru Rural,Nelamangala,20.6078,87.0074,Sugarcane,Local,100,B,09-08-2026,3.01
F182,Deepak,Andhra Pradesh,Krishna,Gudivada,10.4681,82.0379,Rice,Sona Masuri,300,A,04-08-2026,43.16
F183,Sunita,Andhra Pradesh,Guntur,Tenali,12.5989,84.486,Maize,Hybrid,50,C,26-08-2026,22.73
F184,Krishna,Karnataka,Bengaluru Rural,Hoskote,19.3661,87.1398,Groundnut,Local,300,A,11-09-2026,60.87
F185,Sunita,Uttar Pradesh,Lucknow,Malihabad,12.5964,84.3127,Onion,Nashik Red,150,B,11-09-2026,20.15
F186,Pooja,Tamil Nadu,Coimbatore,Pollachi,10.5985,87.7436,Groundnut,TMV-2,400,B,06-08-2026,58.02
F187,Ramesh,Punjab,Ludhiana,Khanna,15.1428,84.1204,Cotton,Local,200,A,18-08-2026,74.08
F188,Meena,Punjab,Amritsar,Rayya,23.5936,86.9235,Rice,Basmati,1000,A,20-08-2026,28.19
F189,Mahesh,Punjab,Ludhiana,Jagraon,18.5095,87.8437,Cotton,Local,800,A,09-08-2026,64.56
F190,Savitri,Uttar Pradesh,Lucknow,Malihabad,20.1198,79.065,Rice,Local,800,C,06-08-2026,35.51
F191,Pooja,Karnataka,Bengaluru Rural,Devanahalli,23.4665,84.0369,Groundnut,Local,150,A,03-09-2026,58.84
F192,Sunita,Karnataka,Belagavi,Gokak,20.7935,83.4187,Tomato,Hybrid PKM-1,150,B,30-08-2026,30.41
F193,Suresh,Andhra Pradesh,Guntur,Narasaraopet,16.0796,74.8926,Cotton,Bt Cotton,1200,A,05-08-2026,55.91
F194,Kavitha,Karnataka,Mysuru,Nanjangud,22.7094,79.8851,Cotton,Local,150,B,11-09-2026,74.57
F195,Deepak,Uttar Pradesh,Lucknow,Mohanlalganj,16.1509,76.4986,Onion,Bellary Red,1000,C,09-08-2026,28.07
F196,Vijay,Uttar Pradesh,Meerut,Kharkhoda,20.4778,81.4471,Rice,Basmati,50,C,30-08-2026,38.47
F197,Ramesh,Maharashtra,Nashik,Sinnar,23.0243,82.6089,Wheat,Local,200,C,08-08-2026,20.26
F198,Kavitha,Maharashtra,Pune,Baramati,9.5709,84.3676,Onion,Bellary Red,50,A,13-09-2026,29.07
F199,Savitri,Uttar Pradesh,Meerut,Kharkhoda,28.6607,82.0655,Rice,Basmati,150,B,19-08-2026,29.68
F200,Santosh,Tamil Nadu,Madurai,Melur,9.8411,87.2793,Cotton,Bt Cotton,1000,B,27-08-2026,61.01
F201,Naveen,Maharashtra,Nagpur,Katol,25.7877,78.4623,Maize,Local,50,C,11-09-2026,22.03
F202,Suresh,Uttar Pradesh,Meerut,Mawana,24.0667,85.2809,Maize,Hybrid,600,A,15-08-2026,19.8
F203,Mahesh,Tamil Nadu,Madurai,Usilampatti,10.2395,80.297,Potato,Kufri Jyoti,400,A,14-08-2026,15.3
F204,Savitri,Karnataka,Belagavi,Athani,27.7197,76.6343,Rice,Basmati,250,A,08-09-2026,37.06
F205,Santosh,Andhra Pradesh,Guntur,Narasaraopet,12.6805,84.3807,Rice,Sona Masuri,250,C,01-08-2026,29.24
F206,Geetha,Uttar Pradesh,Meerut,Kharkhoda,14.7273,80.5275,Groundnut,Local,400,C,05-09-2026,56.43
F207,Rajesh,Punjab,Amritsar,Tarn Taran,15.5451,76.8438,Sugarcane,Local,500,A,31-08-2026,3.76
F208,Anitha,Uttar Pradesh,Meerut,Kharkhoda,21.2411,79.8461,Rice,Local,150,A,05-09-2026,43.7
F209,Santosh,Maharashtra,Nashik,Niphad,25.2939,80.8407,Maize,Hybrid,500,B,13-09-2026,20.03
F210,Geetha,Andhra Pradesh,Krishna,Gudivada,28.6718,81.5899,Wheat,PBW-343,300,A,04-09-2026,23.91
F211,Anitha,Karnataka,Belagavi,Chikodi,22.3754,74.9516,Onion,Bellary Red,50,B,27-08-2026,17.75
F212,Deepak,Karnataka,Bengaluru Rural,Nelamangala,23.0043,74.2202,Sugarcane,Co-86032,800,B,09-09-2026,3.91
F213,Ganesh,Tamil Nadu,Madurai,Melur,26.3895,83.4365,Tomato,Arka Rakshak,1200,A,19-08-2026,18.38
F214,Kavitha,Karnataka,Bengaluru Rural,Devanahalli,17.2317,79.2227,Rice,Basmati,800,B,23-08-2026,30.35
F215,Manjunath,Uttar Pradesh,Meerut,Kharkhoda,27.3808,84.6342,Rice,Sona Masuri,1000,B,06-08-2026,38.07
F216,Rajesh,Uttar Pradesh,Lucknow,Mohanlalganj,19.4969,80.0747,Potato,Local,50,B,14-09-2026,13.71
F217,Manjunath,Tamil Nadu,Coimbatore,Sulur,18.961,74.6519,Tomato,Local,200,C,14-09-2026,37.53
F218,Manjunath,Andhra Pradesh,Krishna,Machilipatnam,26.5552,85.4926,Wheat,Local,50,C,07-09-2026,21.15
